State,DemVote,RepVote,Year,South 
Alabama,84.76,15.24,1932,TRUE
Arizona,67.03,32.97,1932,FALSE
Arkansas,86.27,13.73,1932,TRUE
California,58.41,41.59,1932,FALSE
Colorado,54.81,45.19,1932,FALSE
Connecticut,47.4,52.6,1932,FALSE
Delaware,48.11,51.89,1932,FALSE
Florida,74.49,25.51,1932,TRUE
Georgia,91.6,8.4,1932,TRUE
Idaho,58.7,41.3,1932,FALSE
Illinois,55.23,44.77,1932,FALSE
Indiana,54.67,45.33,1932,FALSE
Iowa,57.69,42.31,1932,FALSE
Kansas,53.56,46.44,1932,FALSE
Kentucky,59.06,40.94,1932,FALSE
Louisiana,92.79,7.21,1932,TRUE
Maine,43.19,56.81,1932,FALSE
Maryland,61.5,38.5,1932,FALSE
Massachusetts,50.64,49.36,1932,FALSE
Michigan,52.36,47.64,1932,FALSE
Minnesota,59.91,40.09,1932,FALSE
Mississippi,95.98,4.02,1932,TRUE
Missouri,63.69,36.31,1932,FALSE
Montana,58.8,41.2,1932,FALSE
Nebraska,62.98,37.02,1932,FALSE
Nevada,69.41,30.59,1932,FALSE
New Hampshire,48.99,51.01,1932,FALSE
New Jersey,49.48,50.52,1932,FALSE
New Mexico,62.72,37.28,1932,FALSE
New York,54.07,45.93,1932,FALSE
North Carolina,69.93,30.07,1932,TRUE
North Dakota,69.59,30.41,1932,FALSE
Ohio,49.88,50.12,1932,FALSE
Oklahoma,73.3,26.7,1932,FALSE
Oregon,58,42,1932,FALSE
Pennsylvania,45.33,54.67,1932,FALSE
Rhode Island,55.08,44.92,1932,FALSE
South Carolina,98.03,1.97,1932,TRUE
South Dakota,63.62,36.38,1932,FALSE
Tennessee,66.48,33.52,1932,TRUE
Texas,88.19,11.81,1932,TRUE
Utah,56.52,43.48,1932,FALSE
Vermont,41.08,58.92,1932,FALSE
Virginia,68.46,31.54,1932,TRUE
Washington,57.46,42.54,1932,FALSE
West Virginia,54.47,45.53,1932,FALSE
Wisconsin,63.46,36.54,1932,FALSE
Wyoming,56.07,43.93,1932,FALSE
Alabama,86.38,13.62,1936,TRUE
Arizona,69.85,30.15,1936,FALSE
Arkansas,81.79,18.21,1936,TRUE
California,66.95,33.05,1936,FALSE
Colorado,60.37,39.63,1936,FALSE
Connecticut,55.32,44.68,1936,FALSE
Delaware,54.62,45.38,1936,FALSE
Florida,76.08,23.92,1936,TRUE
Georgia,87.1,12.9,1936,TRUE
Idaho,62.96,37.04,1936,FALSE
Illinois,57.7,42.3,1936,FALSE
Indiana,56.63,43.37,1936,FALSE
Iowa,54.41,45.59,1936,FALSE
Kansas,53.67,46.33,1936,FALSE
Kentucky,58.51,41.49,1936,FALSE
Louisiana,88.82,11.18,1936,TRUE
Maine,41.52,58.48,1936,FALSE
Maryland,62.35,37.65,1936,FALSE
Massachusetts,51.22,48.78,1936,FALSE
Michigan,56.33,43.67,1936,FALSE
Minnesota,61.84,38.16,1936,FALSE
Mississippi,97.03,2.97,1936,TRUE
Missouri,60.76,39.24,1936,FALSE
Montana,69.28,30.72,1936,FALSE
Nebraska,57.14,42.86,1936,FALSE
Nevada,72.81,27.19,1936,FALSE
New Hampshire,49.73,50.27,1936,FALSE
New Jersey,59.54,40.46,1936,FALSE
New Mexico,62.69,37.31,1936,FALSE
New York,58.85,41.15,1936,FALSE
North Carolina,73.4,26.6,1936,TRUE
North Dakota,59.6,40.4,1936,FALSE
Ohio,57.99,42.01,1936,FALSE
Oklahoma,66.83,33.17,1936,FALSE
Oregon,64.41,35.59,1936,FALSE
Pennsylvania,56.88,43.12,1936,FALSE
Rhode Island,52.96,47.04,1936,FALSE
South Carolina,98.57,1.43,1936,TRUE
South Dakota,54.02,45.98,1936,FALSE
Tennessee,68.77,31.23,1936,TRUE
Texas,87.08,12.92,1936,TRUE
Utah,69.34,30.66,1936,FALSE
Vermont,43.24,56.76,1936,FALSE
Virginia,70.23,29.77,1936,TRUE
Washington,66.38,33.62,1936,FALSE
West Virginia,60.56,39.44,1936,FALSE
Wisconsin,63.8,36.2,1936,FALSE
Wyoming,60.58,39.42,1936,FALSE
Alabama,85.22,14.78,1940,TRUE
Arizona,63.49,36.51,1940,FALSE
Arkansas,78.44,21.56,1940,TRUE
California,57.44,42.56,1940,FALSE
Colorado,48.37,51.63,1940,FALSE
Connecticut,53.44,46.56,1940,FALSE
Delaware,54.7,45.3,1940,FALSE
Florida,73.99,26.01,1940,TRUE
Georgia,84.81,15.19,1940,TRUE
Idaho,54.36,45.64,1940,FALSE
Illinois,50.97,49.03,1940,FALSE
Indiana,49.03,50.97,1940,FALSE
Iowa,47.62,52.38,1940,FALSE
Kansas,42.4,57.6,1940,FALSE
Kentucky,57.45,42.55,1940,FALSE
Louisiana,85.88,14.12,1940,TRUE
Maine,48.77,51.23,1940,FALSE
Maryland,58.26,41.74,1940,FALSE
Massachusetts,53.11,46.89,1940,FALSE
Michigan,49.52,50.48,1940,FALSE
Minnesota,51.49,48.51,1940,FALSE
Mississippi,95.7,4.3,1940,TRUE
Missouri,52.27,47.73,1940,FALSE
Montana,58.78,41.22,1940,FALSE
Nebraska,42.81,57.19,1940,FALSE
Nevada,60.08,39.92,1940,FALSE
New Hampshire,53.22,46.78,1940,FALSE
New Jersey,51.55,48.45,1940,FALSE
New Mexico,56.59,43.41,1940,FALSE
New York,51.6,48.4,1940,FALSE
North Carolina,74.03,25.97,1940,TRUE
North Dakota,44.18,55.82,1940,FALSE
Ohio,52.2,47.8,1940,FALSE
Oklahoma,57.41,42.59,1940,FALSE
Oregon,53.7,46.3,1940,FALSE
Pennsylvania,53.23,46.77,1940,FALSE
Rhode Island,56.73,43.27,1940,FALSE
South Carolina,95.63,4.37,1940,TRUE
South Dakota,42.59,57.41,1940,FALSE
Tennessee,67.25,32.75,1940,TRUE
Texas,80.93,19.07,1940,TRUE
Utah,62.25,37.75,1940,FALSE
Vermont,44.92,55.08,1940,FALSE
Virginia,68.08,31.92,1940,TRUE
Washington,58.22,41.78,1940,FALSE
West Virginia,57.1,42.9,1940,FALSE
Wisconsin,50.15,49.85,1940,FALSE
Wyoming,52.82,47.18,1940,FALSE
Alabama,81.28,18.72,1944,TRUE
Arizona,58.8,41.2,1944,FALSE
Arkansas,69.95,30.05,1944,TRUE
California,56.48,43.52,1944,FALSE
Colorado,46.4,53.6,1944,FALSE
Connecticut,52.3,47.7,1944,FALSE
Delaware,54.38,45.62,1944,FALSE
Florida,70.29,29.71,1944,TRUE
Georgia,81.73,18.27,1944,TRUE
Idaho,51.55,48.45,1944,FALSE
Illinois,51.52,48.48,1944,FALSE
Indiana,46.73,53.27,1944,FALSE
Iowa,47.49,52.51,1944,FALSE
Kansas,39.18,60.82,1944,FALSE
Kentucky,54.45,45.55,1944,FALSE
Louisiana,80.59,19.41,1944,TRUE
Maine,47.45,52.55,1944,FALSE
Maryland,51.85,48.15,1944,FALSE
Massachusetts,52.8,47.2,1944,FALSE
Michigan,50.19,49.81,1944,FALSE
Minnesota,52.41,47.59,1944,FALSE
Mississippi,93.56,6.44,1944,TRUE
Missouri,51.37,48.63,1944,FALSE
Montana,54.28,45.72,1944,FALSE
Nebraska,41.42,58.58,1944,FALSE
Nevada,54.62,45.38,1944,FALSE
New Hampshire,52.11,47.89,1944,FALSE
New Jersey,50.31,49.69,1944,FALSE
New Mexico,53.47,46.53,1944,FALSE
New York,52.31,47.69,1944,FALSE
North Carolina,66.71,33.29,1944,TRUE
North Dakota,45.48,54.52,1944,FALSE
Ohio,49.82,50.18,1944,FALSE
Oklahoma,55.57,44.43,1944,FALSE
Oregon,51.78,48.22,1944,FALSE
Pennsylvania,51.14,48.86,1944,FALSE
Rhode Island,58.59,41.41,1944,FALSE
South Carolina,87.64,12.36,1944,TRUE
South Dakota,41.67,58.33,1944,FALSE
Tennessee,60.45,39.55,1944,TRUE
Texas,71.42,28.58,1944,TRUE
Utah,60.44,39.56,1944,FALSE
Vermont,42.93,57.07,1944,FALSE
Virginia,62.36,37.64,1944,TRUE
Washington,56.84,43.16,1944,FALSE
West Virginia,54.89,45.11,1944,FALSE
Wisconsin,48.57,51.43,1944,FALSE
Wyoming,48.77,51.23,1944,FALSE
Arizona,53.79,46.21,1948,FALSE
Arkansas,61.72,38.28,1948,TRUE
California,47.57,52.43,1948,FALSE
Colorado,51.88,48.12,1948,FALSE
Connecticut,47.91,52.09,1948,FALSE
Delaware,48.76,51.24,1948,FALSE
Florida,48.82,51.18,1948,TRUE
Georgia,60.8,39.2,1948,TRUE
Idaho,49.98,50.02,1948,FALSE
Illinois,50.07,49.93,1948,FALSE
Indiana,48.78,51.22,1948,FALSE
Iowa,50.31,49.69,1948,FALSE
Kansas,44.61,55.39,1948,FALSE
Kentucky,56.74,43.26,1948,FALSE
Louisiana,32.75,67.25,1948,TRUE
Maine,42.27,57.73,1948,FALSE
Maryland,48.01,51.99,1948,FALSE
Massachusetts,54.66,45.34,1948,FALSE
Michigan,47.57,52.43,1948,FALSE
Minnesota,57.16,42.84,1948,FALSE
Mississippi,10.09,89.91,1948,TRUE
Missouri,58.11,41.89,1948,FALSE
Montana,53.09,46.91,1948,FALSE
Nebraska,45.85,54.15,1948,FALSE
Nevada,50.37,49.63,1948,FALSE
New Hampshire,46.66,53.34,1948,FALSE
New Jersey,45.93,54.07,1948,FALSE
New Mexico,56.38,43.62,1948,FALSE
New York,45.01,54.99,1948,FALSE
North Carolina,58.02,41.98,1948,TRUE
North Dakota,43.41,56.59,1948,FALSE
Ohio,49.48,50.52,1948,FALSE
Oklahoma,62.75,37.25,1948,FALSE
Oregon,46.4,53.6,1948,FALSE
Pennsylvania,46.91,53.09,1948,FALSE
Rhode Island,57.59,42.41,1948,FALSE
South Carolina,24.14,75.86,1948,TRUE
South Dakota,47.04,52.96,1948,FALSE
Tennessee,49.14,50.86,1948,TRUE
Texas,65.96,34.04,1948,TRUE
Utah,53.98,46.02,1948,FALSE
Vermont,36.92,63.08,1948,FALSE
Virginia,47.89,52.11,1948,TRUE
Washington,52.61,47.39,1948,FALSE
West Virginia,57.32,42.68,1948,FALSE
Wisconsin,50.7,49.3,1948,FALSE
Wyoming,51.62,48.38,1948,FALSE
Alabama,64.55,35.45,1952,TRUE
Arizona,41.65,58.35,1952,FALSE
Arkansas,55.9,44.1,1952,TRUE
California,42.74,57.26,1952,FALSE
Colorado,38.96,61.04,1952,FALSE
Connecticut,43.91,56.09,1952,FALSE
Delaware,47.88,52.12,1952,FALSE
Florida,44.97,55.03,1952,TRUE
Georgia,69.66,30.34,1952,TRUE
Idaho,34.42,65.58,1952,FALSE
Illinois,44.94,55.06,1952,FALSE
Indiana,40.99,59.01,1952,FALSE
Iowa,35.59,64.41,1952,FALSE
Kansas,30.5,69.5,1952,FALSE
Kentucky,49.91,50.09,1952,FALSE
Louisiana,52.92,47.08,1952,TRUE
Maine,33.77,66.23,1952,FALSE
Maryland,43.83,56.17,1952,FALSE
Massachusetts,45.46,54.54,1952,FALSE
Michigan,43.97,56.03,1952,FALSE
Minnesota,44.11,55.89,1952,FALSE
Mississippi,60.44,39.56,1952,TRUE
Missouri,49.14,50.86,1952,FALSE
Montana,40.07,59.93,1952,FALSE
Nebraska,30.85,69.15,1952,FALSE
Nevada,38.55,61.45,1952,FALSE
New Hampshire,39.08,60.92,1952,FALSE
New Jersey,42,58,1952,FALSE
New Mexico,44.28,55.72,1952,FALSE
New York,43.55,56.45,1952,FALSE
North Carolina,53.91,46.09,1952,TRUE
North Dakota,28.39,71.61,1952,FALSE
Ohio,43.24,56.76,1952,FALSE
Oklahoma,45.41,54.59,1952,FALSE
Oregon,38.93,61.07,1952,FALSE
Pennsylvania,46.85,53.15,1952,FALSE
Rhode Island,49.05,50.95,1952,FALSE
South Carolina,50.72,49.28,1952,TRUE
South Dakota,30.73,69.27,1952,FALSE
Tennessee,49.71,50.29,1952,TRUE
Texas,46.69,53.31,1952,TRUE
Utah,41.07,58.93,1952,FALSE
Vermont,28.23,71.77,1952,FALSE
Virginia,43.36,56.64,1952,TRUE
Washington,44.69,55.31,1952,FALSE
West Virginia,51.92,48.08,1952,FALSE
Wisconsin,38.71,61.29,1952,FALSE
Wyoming,37.09,62.91,1952,FALSE
Alabama,56.52,43.48,1956,TRUE
Arizona,38.9,61.1,1956,FALSE
Arkansas,52.46,47.54,1956,TRUE
California,44.27,55.73,1956,FALSE
Colorado,39.26,60.74,1956,FALSE
Connecticut,36.26,63.74,1956,FALSE
Delaware,44.62,55.38,1956,FALSE
Florida,42.67,57.33,1956,TRUE
Georgia,66.41,33.59,1956,TRUE
Idaho,38.78,61.22,1956,FALSE
Illinois,40.29,59.71,1956,FALSE
Indiana,39.7,60.3,1956,FALSE
Iowa,40.65,59.35,1956,FALSE
Kansas,34.21,65.79,1956,FALSE
Kentucky,45.21,54.79,1956,FALSE
Louisiana,39.51,60.49,1956,TRUE
Maine,29.13,70.87,1956,FALSE
Maryland,39.94,60.06,1956,FALSE
Massachusetts,40.37,59.63,1956,FALSE
Michigan,44.15,55.85,1956,FALSE
Minnesota,46.08,53.92,1956,FALSE
Mississippi,58.22,41.78,1956,TRUE
Missouri,50.11,49.89,1956,FALSE
Montana,42.87,57.13,1956,FALSE
Nebraska,34.49,65.51,1956,FALSE
Nevada,42.03,57.97,1956,FALSE
New Hampshire,33.84,66.16,1956,FALSE
New Jersey,34.23,65.77,1956,FALSE
New Mexico,41.78,58.22,1956,FALSE
New York,38.73,61.27,1956,FALSE
North Carolina,50.66,49.34,1956,TRUE
North Dakota,38.09,61.91,1956,FALSE
Ohio,38.89,61.11,1956,FALSE
Oklahoma,44.87,55.13,1956,FALSE
Oregon,44.72,55.28,1956,FALSE
Pennsylvania,43.3,56.7,1956,FALSE
Rhode Island,41.74,58.26,1956,FALSE
South Carolina,45.37,54.63,1956,TRUE
South Dakota,41.61,58.39,1956,FALSE
Tennessee,48.6,51.4,1956,TRUE
Texas,43.98,56.02,1956,TRUE
Utah,35.44,64.56,1956,FALSE
Vermont,27.81,72.19,1956,FALSE
Virginia,38.36,61.64,1956,TRUE
Washington,45.44,54.56,1956,FALSE
West Virginia,45.92,54.08,1956,FALSE
Wisconsin,37.84,62.16,1956,FALSE
Wyoming,39.92,60.08,1956,FALSE
Alabama,56.83,43.17,1960,TRUE
Alaska,49.06,50.94,1960,FALSE
Arizona,44.36,55.64,1960,FALSE
Arkansas,50.19,49.81,1960,TRUE
California,49.55,50.45,1960,FALSE
Colorado,44.91,55.09,1960,FALSE
Connecticut,53.73,46.27,1960,FALSE
Delaware,50.63,49.37,1960,FALSE
Florida,48.49,51.51,1960,TRUE
Georgia,62.54,37.46,1960,TRUE
Hawaii,50.03,49.97,1960,FALSE
Idaho,46.22,53.78,1960,FALSE
Illinois,49.98,50.02,1960,FALSE
Indiana,44.6,55.4,1960,FALSE
Iowa,43.22,56.78,1960,FALSE
Kansas,39.1,60.9,1960,FALSE
Kentucky,46.41,53.59,1960,FALSE
Louisiana,50.42,49.58,1960,TRUE
Maine,42.95,57.05,1960,FALSE
Maryland,53.61,46.39,1960,FALSE
Massachusetts,60.22,39.78,1960,FALSE
Michigan,50.85,49.15,1960,FALSE
Minnesota,50.58,49.42,1960,FALSE
Mississippi,36.34,63.66,1960,TRUE
Missouri,50.26,49.74,1960,FALSE
Montana,48.6,51.4,1960,FALSE
Nebraska,37.93,62.07,1960,FALSE
Nevada,51.16,48.84,1960,FALSE
New Hampshire,46.58,53.42,1960,FALSE
New Jersey,49.96,50.04,1960,FALSE
New Mexico,50.15,49.85,1960,FALSE
New York,52.53,47.47,1960,FALSE
North Carolina,52.11,47.89,1960,TRUE
North Dakota,44.52,55.48,1960,FALSE
Ohio,46.72,53.28,1960,FALSE
Oklahoma,40.98,59.02,1960,FALSE
Oregon,47.32,52.68,1960,FALSE
Pennsylvania,51.06,48.94,1960,FALSE
Rhode Island,63.63,36.37,1960,FALSE
South Carolina,51.24,48.76,1960,TRUE
South Dakota,41.79,58.21,1960,FALSE
Tennessee,45.77,54.23,1960,TRUE
Texas,50.52,49.48,1960,TRUE
Utah,45.17,54.83,1960,FALSE
Vermont,41.35,58.65,1960,FALSE
Virginia,46.97,53.03,1960,TRUE
Washington,48.27,51.73,1960,FALSE
West Virginia,52.73,47.27,1960,FALSE
Wisconsin,48.05,51.95,1960,FALSE
Wyoming,44.99,55.01,1960,FALSE
Alaska,65.91,34.09,1964,FALSE
Arizona,49.45,50.55,1964,FALSE
Arkansas,56.06,43.94,1964,TRUE
California,59.11,40.89,1964,FALSE
Colorado,61.27,38.73,1964,FALSE
Connecticut,67.81,32.19,1964,FALSE
Delaware,60.95,39.05,1964,FALSE
DC,85.5,14.5,1964,FALSE
Florida,51.15,48.85,1964,TRUE
Georgia,45.87,54.13,1964,TRUE
Hawaii,78.76,21.24,1964,FALSE
Idaho,50.92,49.08,1964,FALSE
Illinois,59.47,40.53,1964,FALSE
Indiana,55.98,44.02,1964,FALSE
Iowa,61.88,38.12,1964,FALSE
Kansas,54.09,45.91,1964,FALSE
Kentucky,64.01,35.99,1964,FALSE
Louisiana,43.19,56.81,1964,TRUE
Maine,68.84,31.16,1964,FALSE
Maryland,65.47,34.53,1964,FALSE
Massachusetts,76.19,23.81,1964,FALSE
Michigan,66.7,33.3,1964,FALSE
Minnesota,63.76,36.24,1964,FALSE
Mississippi,12.86,87.14,1964,TRUE
Missouri,64.05,35.95,1964,FALSE
Montana,58.95,41.05,1964,FALSE
Nebraska,52.61,47.39,1964,FALSE
Nevada,58.58,41.42,1964,FALSE
New Hampshire,63.89,36.11,1964,FALSE
New Jersey,65.61,34.39,1964,FALSE
New Mexico,59.03,40.97,1964,FALSE
New York,68.56,31.44,1964,FALSE
North Carolina,56.15,43.85,1964,TRUE
North Dakota,57.97,42.03,1964,FALSE
Ohio,62.94,37.06,1964,FALSE
Oklahoma,55.75,44.25,1964,FALSE
Oregon,63.72,36.28,1964,FALSE
Pennsylvania,64.92,35.08,1964,FALSE
Rhode Island,80.87,19.13,1964,FALSE
South Carolina,41.11,58.89,1964,TRUE
South Dakota,55.61,44.39,1964,FALSE
Tennessee,55.5,44.5,1964,TRUE
Texas,63.32,36.68,1964,TRUE
Utah,54.71,45.29,1964,FALSE
Vermont,66.3,33.7,1964,FALSE
Virginia,53.54,46.46,1964,TRUE
Washington,61.97,38.03,1964,FALSE
West Virginia,67.94,32.06,1964,FALSE
Wisconsin,62.09,37.91,1964,FALSE
Wyoming,56.56,43.44,1964,FALSE
Alabama,18.72,81.28,1968,TRUE
Alaska,42.65,57.35,1968,FALSE
Arizona,35.02,64.98,1968,FALSE
Arkansas,30.36,69.64,1968,TRUE
California,44.74,55.26,1968,FALSE
Colorado,41.32,58.68,1968,FALSE
Connecticut,49.48,50.52,1968,FALSE
Delaware,41.61,58.39,1968,FALSE
DC,81.82,18.18,1968,FALSE
Florida,30.93,69.07,1968,TRUE
Georgia,26.75,73.25,1968,TRUE
Hawaii,59.83,40.17,1968,FALSE
Idaho,30.66,69.34,1968,FALSE
Illinois,44.15,55.85,1968,FALSE
Indiana,37.99,62.01,1968,FALSE
Iowa,40.82,59.18,1968,FALSE
Kansas,34.72,65.28,1968,FALSE
Kentucky,37.65,62.35,1968,FALSE
Louisiana,28.21,71.79,1968,TRUE
Maine,55.3,44.7,1968,FALSE
Maryland,43.59,56.41,1968,FALSE
Massachusetts,63.01,36.99,1968,FALSE
Michigan,48.18,51.82,1968,FALSE
Minnesota,54,46,1968,FALSE
Mississippi,23.02,76.98,1968,TRUE
Missouri,43.74,56.26,1968,FALSE
Montana,41.59,58.41,1968,FALSE
Nebraska,31.81,68.19,1968,FALSE
Nevada,39.29,60.71,1968,FALSE
New Hampshire,43.93,56.07,1968,FALSE
New Jersey,43.97,56.03,1968,FALSE
New Mexico,39.74,60.26,1968,FALSE
New York,49.74,50.26,1968,FALSE
North Carolina,29.24,70.76,1968,TRUE
North Dakota,38.23,61.77,1968,FALSE
Ohio,42.95,57.05,1968,FALSE
Oklahoma,31.99,68.01,1968,FALSE
Oregon,43.78,56.22,1968,FALSE
Pennsylvania,47.59,52.41,1968,FALSE
Rhode Island,64.03,35.97,1968,FALSE
South Carolina,29.61,70.39,1968,TRUE
South Dakota,41.96,58.04,1968,FALSE
Tennessee,28.13,71.87,1968,TRUE
Texas,41.14,58.86,1968,TRUE
Utah,37.07,62.93,1968,FALSE
Vermont,43.53,56.47,1968,FALSE
Virginia,32.49,67.51,1968,TRUE
Washington,47.23,52.77,1968,FALSE
West Virginia,49.6,50.4,1968,FALSE
Wisconsin,44.27,55.73,1968,FALSE
Wyoming,35.51,64.49,1968,FALSE
Alabama,25.54,74.46,1972,TRUE
Alaska,34.62,65.38,1972,FALSE
Arizona,31.87,68.13,1972,FALSE
Arkansas,30.69,69.31,1972,TRUE
California,41.54,58.46,1972,FALSE
Colorado,34.59,65.41,1972,FALSE
Connecticut,40.13,59.87,1972,FALSE
Delaware,39.18,60.82,1972,FALSE
DC,78.1,21.9,1972,FALSE
Florida,27.8,72.2,1972,TRUE
Georgia,24.65,75.35,1972,TRUE
Hawaii,37.52,62.48,1972,FALSE
Idaho,26.04,73.96,1972,FALSE
Illinois,40.51,59.49,1972,FALSE
Indiana,33.34,66.66,1972,FALSE
Iowa,40.48,59.52,1972,FALSE
Kansas,29.5,70.5,1972,FALSE
Kentucky,34.77,65.23,1972,FALSE
Louisiana,28.35,71.65,1972,TRUE
Maine,38.51,61.49,1972,FALSE
Maryland,37.36,62.64,1972,FALSE
Massachusetts,54.2,45.8,1972,FALSE
Michigan,41.82,58.18,1972,FALSE
Minnesota,46.07,53.93,1972,FALSE
Mississippi,19.63,80.37,1972,TRUE
Missouri,37.57,62.43,1972,FALSE
Montana,37.85,62.15,1972,FALSE
Nebraska,29.5,70.5,1972,FALSE
Nevada,36.32,63.68,1972,FALSE
New Hampshire,34.86,65.14,1972,FALSE
New Jersey,36.77,63.23,1972,FALSE
New Mexico,36.53,63.47,1972,FALSE
New York,41.18,58.82,1972,FALSE
North Carolina,28.89,71.11,1972,TRUE
North Dakota,35.79,64.21,1972,FALSE
